mint,entry_time_utc,entry_ts,entry_slot,entry_signature,entry_sol,age_s,pre_trade_count,pre_buy_count,pre_sell_count,pre_buy_ratio,pre_unique_wallets,pre_unique_buyers,pre_buy_sol,pre_sell_sol,pre_net_flow_sol,last_trade_gap_s,last30_trade_count,last30_sol,last60_trade_count,last60_sol,price_return,near_high,wallet_position_buy_sol,wallet_position_sell_sol,wallet_position_net_sol,wallet_position_roi
7LEQAhP247qAn4RQ2gQz7f2Vy9h1RTBrYpZR53Xypump,2026-05-01 04:27:12 UTC,1777609632,416802718,3Nw8FQ5z4wA161NbzvEni7m92v4dKstcnwdn9ym8GveFwQWj3sUGE3fzh26XeaSD16W74iK7uxGQ5BkVMCJQUYHB,0.509516604,117,68,43,25,0.6323529411764706,37,37,26.95484573,15.422285890000003,11.532559839999996,8,8,2.9953236840000006,14,6.273906146,0.46283645390560313,1.9193823518418444e-11,0.509516604,0.509901185,0.00038458100000005047,0.0007547958142695787
A5rP14CTa1YZ2RFz3PuLisDt5Amtb99JWXCXJPphpump,2026-05-01 04:29:16 UTC,1777609756,416803028,55MNejmhMejSQtaDx2H1QxJxRN4br9NGhw1sXZKeQVRjfpPM1vNiwzKxGbYxUDEPrYNAKeFUBu3E4b1rfEj66FGG,0.50947133,103,114,77,37,0.6754385964912281,72,72,36.92289273400001,14.147848275000005,22.775044459000004,1,36,12.177761923000002,73,29.07292586100001,1.6601969790666669,0.19809733410244154,0.50947133,0.660124016,0.15065268600000004,0.29570395256588833
MiFAEqb5LU4gxsKUWMTmr7rAjoKw64Uk9raTw26pump,2026-05-01 04:32:03 UTC,1777609923,416803456,5EBSCGrLHKjKgEKt3qKBAXKvREADpf4goZBAVod4fy2UVJoX3zE4nYsWLN5pJ8cTstMc28sJWzA9Dfpq1qxpYiAH,0.519020036,25,215,144,71,0.6697674418604651,124,124,137.47705068899995,91.83347233999999,45.64357834899997,0,215,229.3105230289999,215,229.3105230289999,0.20485877653869156,0.7439916014241833,0.519020036,0.452061793,-0.06695824300000003,-0.12900897529127378
CBLpK9s2RzRdpD4M1xrsm8nWQQqCo59kDRVyFtQmpump,2026-05-01 04:32:23 UTC,1777609943,416803504,ecjc1zXqNwQiQy4ofLCeZucv2h98HbuDd4kTuekSqAXLSBdbtgDHHRLvBxNd7hRriWLs193odyQTQJbRvDuPPj4,0.509594308,288,218,175,43,0.8027522935779816,142,142,106.22821303500004,14.914526842999999,91.31368619200003,0,31,14.148805478000002,52,26.426659208000004,4.701532769047854,0.7863465005683613,0.509594308,0.424338347,-0.08525596100000005,-0.16730163516661578
7n3tKCurzjrQ9ica4G5Kf789KVymmH6bbHSKtNtWpump,2026-05-01 04:36:38 UTC,1777610198,416804145,5efkxADwR6z3BWZLnx8qmGcQ3B6mrHKSoYRLVcK2R8NLneQV7sedq6vYuBSan7MSAVT7VsANsHNGR8jLx9HK7LbT,0.599726016,17,17,12,5,0.7058823529411765,12,12,7.917190890999999,3.083358274,4.833832616999999,0,17,11.000549165,17,11.000549165,0.2700226440395115,0.9625629252782738,0.599726016,0.526441718,-0.07328429800000003,-0.12219629638344726
3NdbKUzQ9pZY3ubFHaiAsnokXWEfLy9cWX3Mi1uMpump,2026-05-01 04:50:45 UTC,1777611045,416806290,4uTcrShETpYAHZRBwx2CsvBU7AjmxPRuZQ6sJutiEaCBFwbtn98tN7vCtmQqhQwpRrjmRYCoDUp6ASQwQ3nXDxG8,0.580924956,149,184,104,80,0.5652173913043478,75,73,93.57523846499997,71.11626113800004,22.45897732699993,1,36,36.925823846,42,40.607457426,0.8206408509410832,0.5222305133894023,0.580924956,0.527383525,-0.053541431000000084,-0.0921658304519458
HkbjnerdHCjZjnuQwWtAGExYTcipM11Rj7uFyCHkpump,2026-05-01 05:13:11 UTC,1777612391,416809697,2yGwnp1zSUs2WbJFxCZhAfE14R6AH9ZbBvbbp3K9H8wiahQbLtqqZ7whySLFUoGhAxooyKpMuQBU44JKiuz78g55,0.511866732,14,178,132,46,0.7415730337078652,99,99,77.73792302199999,34.94773370199999,42.79018932,1,178,112.68565672399998,178,112.68565672399998,3.536913685483009,0.8635868417916946,0.511866732,1.186089976,0.6742232440000001,1.3171851223181275
dGUZGWMbd597oAAo79Thj3BUvNZxJE66BTeRRD4pump,2026-05-01 05:16:27 UTC,1777612587,416810196,2Nrg1ZDsGqiEFCpV7GpLvvRVT2mqbSC6geMsRSYQ1od72wHybPdP11f5EyGCMEdrcoHJAtkk1nVhyJ4fuhdd9X4V,0.509071739,28,144,94,50,0.6527777777777778,72,72,80.26779024700001,61.91887817400003,18.34891207299998,1,144,142.18666842099984,144,142.18666842099984,-0.5704092144664258,0.3840313473658849,0.509071739,0.405794977,-0.10327676200000002,-0.20287270749476827
75UyukCxDAnkhAUiDRpAo9euS4cdTq9CkpRzXqmQpump,2026-05-01 05:24:39 UTC,1777613079,416811438,24bTMEhFCXEoebRJ6z8Q2dk5rKiHx2eM44aTyfPMgfYtkWnezkodwAMbK9ddmqWteeod8Yd5VV6e4sEtKRv726tU,0.509594308,23,195,124,71,0.6358974358974359,114,114,92.60029728800005,65.30703262500003,27.293264663000016,0,195,157.90732991299993,195,157.90732991299993,0.14720628194603402,0.46405725742637766,0.509594308,0.498357901,-0.01123640700000006,-0.022049710570943147
DsBg2TJfULBHD7HF7JVYZmU42Bixo4o9qrakvp4jpump,2026-05-01 05:34:34 UTC,1777613674,416812944,2KXr3hZDeT3NMyxUeHDfAuAPK5EJc3JE9jAB6Yp77fv3AnbbUoNHWmsCa8Y2NqNRzkLY7K4VeE9DA7X7GnnVRwmW,0.482359319,2,17,14,3,0.8235294117647058,14,14,14.102223669999999,1.5152088529999999,12.587014817,1,17,15.617432523,17,15.617432523,0.26037817965629495,0.7511902046589772,0.482359319,0.278837592,-0.20352172699999999,-0.4219297087945345
